state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
AL,Humira Pen,63630.0,14473022.48,227.46,Adalimumab,0,0,N/A
AL,Lipitor,360.0,5523.6,15.34,Atorvastatin Calcium,58097308.0,11619203.9,0.2
AL,Aricept,346.0,6179.93,17.86,Donepezil Hcl,6879069.0,2297453.06,0.33
AL,Enbrel,159434.0,33297390.25,208.85,Etanercept,0,0,N/A
AL,Zoloft,1692.0,30275.54,17.89,Sertraline Hcl,10651834.0,2000434.54,0.19
AL,Trintellix,305153.0,4250143.32,13.93,Vortioxetine Hydrobromide,0,0,N/A
AL,Ambien,2480.0,45174.67,18.22,Zolpidem Tartrate,5324934.0,1040119.74,0.2
AK,Humira Pen,2184.0,454866.72,208.27,Adalimumab,0,0,N/A
AK,Lipitor,6310.0,81597.3,12.93,Atorvastatin Calcium,4568548.0,1281577.54,0.28
AK,Aricept,0,0,N/A,Donepezil Hcl,168403.0,75324.27,0.45
AK,Enbrel,7336.0,1504314.58,205.06,Etanercept,0,0,N/A
AK,Zoloft,1032.0,18836.5,18.25,Sertraline Hcl,536529.0,150540.01,0.28
AK,Trintellix,25250.0,337512.76,13.37,Vortioxetine Hydrobromide,0,0,N/A
AK,Ambien,710.0,13409.16,18.89,Zolpidem Tartrate,271338.0,77379.88,0.29
AZ,Humira Pen,59446.0,14043145.91,236.23,Adalimumab,0,0,N/A
AZ,Lipitor,3720.0,51951.48,13.97,Atorvastatin Calcium,75474552.0,15067108.3,0.2
AZ,Aricept,0,0,N/A,Donepezil Hcl,5804976.0,1906883.56,0.33
AZ,Enbrel,176273.0,35841299.07,203.33,Etanercept,0,0,N/A
AZ,Zoloft,1710.0,19992.85,11.69,Sertraline Hcl,12442742.0,2801549.44,0.23
AZ,Trintellix,154745.0,2156594.9,13.94,Vortioxetine Hydrobromide,0,0,N/A
AZ,Ambien,4860.0,93123.0,19.16,Zolpidem Tartrate,4634072.0,1102827.97,0.24
AR,Humira Pen,24309.0,5426554.99,223.23,Adalimumab,0,0,N/A
AR,Lipitor,1770.0,24622.85,13.91,Atorvastatin Calcium,33873917.0,6310097.61,0.19
AR,Aricept,0,0,N/A,Donepezil Hcl,3336830.0,962829.53,0.29
AR,Enbrel,68200.0,14057205.42,206.12,Etanercept,0,0,N/A
AR,Zoloft,1582.0,25506.43,16.12,Sertraline Hcl,7221428.0,1351071.46,0.19
AR,Trintellix,98713.0,1420298.24,14.39,Vortioxetine Hydrobromide,0,0,N/A
AR,Ambien,1050.0,20046.86,19.09,Zolpidem Tartrate,3758466.0,797923.7,0.21
CA,Humira Pen,470023.0,96741577.15,205.82,Adalimumab,0,0,N/A
CA,Lipitor,96117.0,643834.21,6.7,Atorvastatin Calcium,471460383.0,92805875.67,0.2
CA,Aricept,3882.0,69468.35,17.89,Donepezil Hcl,29961789.0,9171190.63,0.31
CA,Enbrel,976189.0,187055013.76,191.62,Etanercept,0,0,N/A
CA,Zoloft,11734.0,192837.54,16.43,Sertraline Hcl,47873927.0,9659530.12,0.2
CA,Trintellix,1621266.0,22736771.28,14.02,Vortioxetine Hydrobromide,0,0,N/A
